section,metric_key,label,timeframe,value,unit,source,status,updated_at,notes
Heatmap,current_price,Current BTC Price,current,73932.69,USD,Binance,ok,2026-05-31 12:40:39 UTC,
Heatmap,top_zone_1_vol_24h,Top Zone 1 Volume (24h),24h,32496882506.08,USD,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"$72,982-$73,448 | below | 0.97% from price"
Heatmap,top_zone_1_range_24h,Top Zone 1 Range (24h),24h,"$72,982-$73,448",,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"center=$73,215, below, dist=0.97%"
Heatmap,top_zone_2_vol_24h,Top Zone 2 Volume (24h),24h,31082534082.61,USD,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"$74,485-$74,951 | above | 1.06% from price"
Heatmap,top_zone_2_range_24h,Top Zone 2 Range (24h),24h,"$74,485-$74,951",,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"center=$74,718, above, dist=1.06%"
Heatmap,top_zone_3_vol_24h,Top Zone 3 Volume (24h),24h,15963875211.26,USD,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"$75,210-$75,676 | above | 2.04% from price"
Heatmap,top_zone_3_range_24h,Top Zone 3 Range (24h),24h,"$75,210-$75,676",,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"center=$75,443, above, dist=2.04%"
Heatmap,top_zone_4_vol_24h,Top Zone 4 Volume (24h),24h,15874487305.64,USD,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"$72,257-$72,723 | below | 1.95% from price"
Heatmap,top_zone_4_range_24h,Top Zone 4 Range (24h),24h,"$72,257-$72,723",,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"center=$72,490, below, dist=1.95%"
Heatmap,top_zone_5_vol_24h,Top Zone 5 Volume (24h),24h,7858419938.01,USD,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"$76,712-$77,179 | above | 4.08% from price"
Heatmap,top_zone_5_range_24h,Top Zone 5 Range (24h),24h,"$76,712-$77,179",,liqHeatMap,ok,2026-05-31 12:40:39 UTC,"center=$76,946, above, dist=4.08%"
