section,metric_key,label,timeframe,value,unit,source,status,updated_at,notes
Heatmap,current_price,Current BTC Price,current,62264.2,USD,Binance,ok,2026-06-05 11:40:31 UTC,
Heatmap,top_zone_1_vol_24h,Top Zone 1 Volume (24h),24h,149821909829.75,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$60,947-$65,775 | above | 1.76% from price"
Heatmap,top_zone_1_range_24h,Top Zone 1 Range (24h),24h,"$60,947-$65,775",,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"center=$63,361, above, dist=1.76%"
Heatmap,top_zone_2_vol_24h,Top Zone 2 Volume (24h),24h,13429753952.36,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$59,782-$60,725 | below | 3.23% from price"
Heatmap,top_zone_2_range_24h,Top Zone 2 Range (24h),24h,"$59,782-$60,725",,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"center=$60,253, below, dist=3.23%"
Heatmap,top_zone_3_vol_24h,Top Zone 3 Volume (24h),24h,7506626838.68,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$66,163-$66,496 | above | 6.53% from price"
Heatmap,top_zone_3_range_24h,Top Zone 3 Range (24h),24h,"$66,163-$66,496",,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"center=$66,330, above, dist=6.53%"
Heatmap,top_zone_4_vol_24h,Top Zone 4 Volume (24h),24h,2177542609.08,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$66,829-$66,829 | above | 7.33% from price"
Heatmap,top_zone_4_range_24h,Top Zone 4 Range (24h),24h,"$66,829-$66,829",,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"center=$66,829, above, dist=7.33%"
Heatmap,top_zone_5_vol_24h,Top Zone 5 Volume (24h),24h,867092637.75,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$59,116-$59,116 | below | 5.06% from price"
Heatmap,top_zone_5_range_24h,Top Zone 5 Range (24h),24h,"$59,116-$59,116",,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"center=$59,116, below, dist=5.06%"
Heatmap,long_liq_zone_1_24h,Long Liq Zone 1 Below (24h),24h,13429753952.36,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$59,782-$60,725 | 3.23% below"
Heatmap,long_liq_zone_2_24h,Long Liq Zone 2 Below (24h),24h,867092637.75,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$59,116-$59,116 | 5.06% below"
Heatmap,long_liq_zone_3_24h,Long Liq Zone 3 Below (24h),24h,841543414.4,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$59,504-$59,504 | 4.43% below"
Heatmap,short_liq_zone_1_24h,Short Liq Zone 1 Above (24h),24h,149821909829.75,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$60,947-$65,775 | 1.76% above"
Heatmap,short_liq_zone_2_24h,Short Liq Zone 2 Above (24h),24h,7506626838.68,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$66,163-$66,496 | 6.53% above"
Heatmap,short_liq_zone_3_24h,Short Liq Zone 3 Above (24h),24h,2177542609.08,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$66,829-$66,829 | 7.33% above"
Heatmap,nearest_below_price_24h,Nearest Cluster Below (24h),24h,"$60,253",USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"dist=3.23%, vol=13.43B"
Heatmap,nearest_below_dist_24h,Nearest Below Dist (24h),24h,3.229,%,liqHeatMap,ok,2026-06-05 11:40:31 UTC,
Heatmap,nearest_below_vol_24h,Nearest Below Volume (24h),24h,13429753952.36,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,
Heatmap,nearest_above_price_24h,Nearest Cluster Above (24h),24h,"$63,361",USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"dist=1.76%, vol=149.82B"
Heatmap,nearest_above_dist_24h,Nearest Above Dist (24h),24h,1.761,%,liqHeatMap,ok,2026-06-05 11:40:31 UTC,
Heatmap,nearest_above_vol_24h,Nearest Above Volume (24h),24h,149821909829.75,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,
Heatmap,liquidity_magnet_24h,Liquidity Magnet (24h),24h,"$63,361",USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"above, dist=1.76%, vol=149.82B"
Heatmap,liquidity_vacuum_24h,Liquidity Vacuum Gap (24h),24h,3107.0,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,"$60,253-$63,361 | 4.99% of price"
Heatmap,bucket_0.5%_below_24h,Vol 0.5% Below (24h),24h,2711920798.18,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,
Heatmap,bucket_0.5%_above_24h,Vol 0.5% Above (24h),24h,3615838910.01,USD,liqHeatMap,ok,2026-06-05 11:40:31 UTC,
Heatmap,bucket_0.5%_imbalance_24h,Imbalance 0.5% (24h),24h,1.3333,above/below,liqHeatMap,ok,2026-06-05 11:40:31 UTC,">1=more above, <1=more below"
