section,metric_key,label,timeframe,value,unit,source,status,updated_at,notes
Heatmap,current_price,Current BTC Price,current,66756.58,USD,Binance,ok,2026-06-02 23:59:31 UTC,
Heatmap,top_zone_1_vol_24h,Top Zone 1 Volume (24h),24h,254601864814.3,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"$64,971-$74,280 | above | 4.30% from price"
Heatmap,top_zone_1_range_24h,Top Zone 1 Range (24h),24h,"$64,971-$74,280",,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"center=$69,626, above, dist=4.30%"
Heatmap,top_zone_2_vol_24h,Top Zone 2 Volume (24h),24h,311346925.12,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"$64,503-$64,503 | below | 3.38% from price"
Heatmap,top_zone_2_range_24h,Top Zone 2 Range (24h),24h,"$64,503-$64,503",,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"center=$64,503, below, dist=3.38%"
Heatmap,top_zone_3_vol_24h,Top Zone 3 Volume (24h),24h,185574927.98,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"$63,766-$64,101 | below | 4.23% from price"
Heatmap,top_zone_3_range_24h,Top Zone 3 Range (24h),24h,"$63,766-$64,101",,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"center=$63,933, below, dist=4.23%"
Heatmap,long_liq_zone_1_24h,Long Liq Zone 1 Below (24h),24h,311346925.12,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"$64,503-$64,503 | 3.38% below"
Heatmap,long_liq_zone_2_24h,Long Liq Zone 2 Below (24h),24h,185574927.98,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"$63,766-$64,101 | 4.23% below"
Heatmap,short_liq_zone_1_24h,Short Liq Zone 1 Above (24h),24h,254601864814.3,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"$64,971-$74,280 | 4.30% above"
Heatmap,nearest_below_price_24h,Nearest Cluster Below (24h),24h,"$64,503",USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"dist=3.38%, vol=311.35M"
Heatmap,nearest_below_dist_24h,Nearest Below Dist (24h),24h,3.377,%,liqHeatMap,ok,2026-06-02 23:59:31 UTC,
Heatmap,nearest_below_vol_24h,Nearest Below Volume (24h),24h,311346925.12,USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,
Heatmap,nearest_above_price_24h,Nearest Cluster Above (24h),24h,"$69,626",USD,liqHeatMap,ok,2026-06-02 23:59:31 UTC,"dist=4.30%, vol=254.60B"
