section,metric_key,label,timeframe,value,unit,source,status,updated_at,notes
Heatmap,current_price,Current BTC Price,current,73603.57,USD,Binance,ok,2026-05-31 14:18:29 UTC,
Heatmap,top_zone_1_vol_24h,Top Zone 1 Volume (24h),24h,23754712169.16,USD,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"$74,569-$74,930 | above | 1.56% from price"
Heatmap,top_zone_1_range_24h,Top Zone 1 Range (24h),24h,"$74,569-$74,930",,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"center=$74,749, above, dist=1.56%"
Heatmap,top_zone_2_vol_24h,Top Zone 2 Volume (24h),24h,22928974036.13,USD,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"$73,075-$73,436 | below | 0.47% from price"
Heatmap,top_zone_2_range_24h,Top Zone 2 Range (24h),24h,"$73,075-$73,436",,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"center=$73,256, below, dist=0.47%"
Heatmap,top_zone_3_vol_24h,Top Zone 3 Volume (24h),24h,11877356092.81,USD,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"$72,354-$72,715 | below | 1.45% from price"
Heatmap,top_zone_3_range_24h,Top Zone 3 Range (24h),24h,"$72,354-$72,715",,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"center=$72,534, below, dist=1.45%"
Heatmap,top_zone_4_vol_24h,Top Zone 4 Volume (24h),24h,11464487023.65,USD,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"$75,290-$75,651 | above | 2.54% from price"
Heatmap,top_zone_4_range_24h,Top Zone 4 Range (24h),24h,"$75,290-$75,651",,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"center=$75,471, above, dist=2.54%"
Heatmap,top_zone_5_vol_24h,Top Zone 5 Volume (24h),24h,5791788630.71,USD,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"$70,860-$71,221 | below | 3.48% from price"
Heatmap,top_zone_5_range_24h,Top Zone 5 Range (24h),24h,"$70,860-$71,221",,liqHeatMap,ok,2026-05-31 14:18:29 UTC,"center=$71,041, below, dist=3.48%"
